Genotype,Envir,Row,Column,silking,R,C,silking_spats_residuals,silking_spats_geno_pred_values,silking_spats_adj_pheno
N192,Gai12R_block_36,18,28,64.7849117529,18,28,0.926782415571317,73.1117165812979,74.0384989968692
NQ508,Gai12R_block_36,9,28,83.19971632,9,28,0.993764641676492,73.1786988074031,74.1724634490796
UH_P060,Gai12R_block_36,18,22,64.7849117529,18,22,-2.26968034971526,69.9152538160115,67.6455734662962
UH_P064,Gai12R_block_36,27,26,67.0282656168,27,26,-2.8281942980349,69.3567398676917,66.5285455696568
UH_P089,Gai12R_block_36,9,24,78.9055366062,9,24,0.384213900042866,72.5691480657693,72.9533619658122
W182E,Gai12R_block_36,9,25,78.9055366062,9,25,0.117530124067201,72.3024642897938,72.419994413861
W602S,Gai12R_block_36,27,22,76.4636532233,27,22,-2.713459027013,69.4714751387138,66.7580161117008
11430,Gai12R_block_32,26,25,65.9788172736,26,25,-1.38175452531523,75.8123472699098,74.4305927445945
B100,Gai12R_block_32,8,28,81.6621384111,8,28,0.160482566744136,77.354584361969,77.5150669287132
DK78371A,Gai12R_block_32,17,25,81.6621384111,17,25,1.67004153454315,78.864143329768,80.5341848643112
EP72,Gai12R_block_32,26,26,83.19971632,26,26,4.36745683054703,81.5615586257717,85.9290154563187
EZ42,Gai12R_block_32,17,24,78.9055366062,17,24,-1.37936650794238,75.8147352872826,74.4353687793402
EZ48,Gai12R_block_32,8,24,84.6081786292,8,24,2.54149262180164,79.7355944170265,82.2770870388281
F252,Gai12R_block_32,17,23,78.9055366062,17,23,-0.0354026724079546,77.158699122817,77.123296450409
F353,Gai12R_block_32,17,28,64.7849117529,17,28,-2.26403396131971,74.9300678339054,72.6660338725857
F7028,Gai12R_block_32,26,28,67.0282656168,26,28,-0.257297204047703,76.9368045911772,76.6795073871295
I267,Gai12R_block_32,8,22,81.6621384111,8,22,1.38961487214785,78.5837166673728,79.9733315395207
IDT,Gai12R_block_32,26,23,84.6081786292,26,23,1.49729175463256,78.6913935498574,80.1886853044899
Lo1270,Gai12R_block_32,17,26,81.6621384111,17,26,-1.1279763081283,76.0661254870967,74.9381491789684
Lo1282,Gai12R_block_32,8,26,83.19971632,8,26,0.513881816623623,77.7079836118485,78.2218654284721
MS71,Gai12R_block_32,8,23,81.6621384111,8,23,0.165621397501937,77.3597231927269,77.5253445902288
NQ508,Gai12R_block_32,26,24,77.7660082737,26,24,0.356160986784062,77.550262782009,77.906423768793
PHG84,Gai12R_block_32,17,22,64.7849117529,17,22,-3.6068440869015,73.5872577083236,69.9804136214221
PHG86,Gai12R_block_32,8,27,83.19971632,8,27,0.906989263757694,78.1010910589826,79.0080803227403
PHJ40,Gai12R_block_32,26,27,65.9788172736,26,27,-2.23854635561685,74.9555554396082,72.7170090839914
UH_P060,Gai12R_block_32,8,25,67.0282656168,8,25,-3.33477105159329,73.8593307436318,70.5245596920385
