Genotype,Envir,Row,Column,ear.height,R,C,ear.height_spats_residuals,ear.height_spats_geno_pred_values,ear.height_spats_adj_pheno
Lo1273,Gai13R_block_16,62,8,90,62,8,5.83522520190485,84.9447519929384,90.7799771948433
Lo1290,Gai13R_block_16,64,26,85,64,26,2.54018411067035,81.6497109017037,84.1898950123741
ML606,Gai13R_block_16,59,17,70,59,17,-3.98409489463232,75.1254318964008,71.1413370017685
N16,Gai13R_block_16,58,8,75,58,8,0.906910354219775,80.0164371452531,80.9233474994729
NC290,Gai13R_block_16,63,26,70,63,26,-3.44668463350325,75.6628421575299,72.2161575240267
NDB8,Gai13R_block_16,60,8,60,60,8,-5.21305295425246,73.8964738367805,68.6834208825281
PHB09,Gai13R_block_16,63,8,70,63,8,-1.75856909909459,77.3509576919386,75.592388592844
PHG84,Gai13R_block_16,61,17,80,61,17,-0.0400738309704138,79.0694529600629,79.0293791290925
W153R,Gai13R_block_16,59,8,80,59,8,4.16290969214224,83.2724364831757,87.4353461753179
A347,Gai13R_block_26,71,18,70,71,18,1.87927953554851,73.8517621330976,75.7310416686461
DKFBHJ,Gai13R_block_26,68,18,60,68,18,-3.63291548955304,68.3395671079964,64.7066516184433
EC136,Gai13R_block_26,71,27,70,71,27,-2.37698149547522,69.595501102074,67.2185196065988
EC151,Gai13R_block_26,68,27,95,68,27,7.65259542314585,79.6250780206948,87.2776734438406
EP55,Gai13R_block_26,66,9,75,66,9,2.52968743053555,74.5021700280846,77.0318574586201
EZ31,Gai13R_block_26,67,18,60,67,18,-3.75467519078183,68.2178074067676,64.4631322159858
F05101,Gai13R_block_26,65,27,90,65,27,2.78699177309726,74.7594743706463,77.5464661437436
F252,Gai13R_block_26,66,27,75,66,27,-3.8970022078655,68.0754803896838,64.1784781818183
F353,Gai13R_block_26,65,9,70,65,9,0.463774689386327,72.4362572869354,72.9000319763217
F888,Gai13R_block_26,70,27,80,70,27,1.81302457447902,73.7855071720281,75.5985317465071
HMV5347,Gai13R_block_26,70,18,70,70,18,1.71193408738634,73.6844166849355,75.3963507723219
Lo1056,Gai13R_block_26,68,9,80,68,9,4.08449661426006,76.0569792118091,80.1414758260692
Lo1242,Gai13R_block_26,67,9,70,67,9,-0.418394996454694,71.5540876010946,71.1356926046399
Lo1270,Gai13R_block_26,65,18,70,65,18,0.816933880110298,72.7894164776594,73.6063503577697
P465P,Gai13R_block_26,66,18,65,66,18,-1.45510534205889,70.5173772554905,69.0622719134316
Pa36,Gai13R_block_26,69,27,70,69,27,-3.96053259154533,68.0119500060041,64.0514174144587
PHG35,Gai13R_block_26,71,9,80,71,9,2.79722797381901,74.7697105713681,77.5669385451871
UH_P024,Gai13R_block_26,69,18,70,69,18,1.59368210841748,73.5661647059667,75.1598468143842
UH_P128,Gai13R_block_26,67,27,80,67,27,-0.597662270369909,71.3748203271793,70.7771580568094
W95115,Gai13R_block_26,70,9,70,70,9,-1.75775804480526,70.214724552744,68.4569665079388
Wf9,Gai13R_block_26,69,9,60,69,9,-6.27860046127572,65.6938821362738,59.4152816749981
A347,Ner13R_block_27,6,43,87,6,43,-0.207346942039862,90.1525434004807,89.9451964584409
B104,Ner13R_block_27,6,45,94,6,45,-0.412855131694641,89.9470352108259,89.5341800791313
EC169,Ner13R_block_27,10,47,65,10,47,-8.87673718614849,81.4831531563717,72.6064159702232
EC175,Ner13R_block_27,2,48,85,2,48,-1.20829512054189,89.1515952219786,87.9433001014367
EP55,Ner13R_block_27,6,44,100,6,44,2.49491254753008,92.8548028900506,95.3497154375806
EZ11A,Ner13R_block_27,6,48,94,6,48,1.66342717633778,92.0233175188584,93.6867446951962
F04402,Ner13R_block_27,2,47,90,2,47,2.68884738737886,93.0487377298996,95.7375851172784
F04702,Ner13R_block_27,2,45,95,2,45,0.530686900482834,90.8905772430036,91.4212641434864
F05404,Ner13R_block_27,6,46,103,6,46,1.94101258196805,92.3009029244888,94.2419155064568
F354,Ner13R_block_27,2,43,90,2,43,-2.5230124387743,87.8368779037463,85.313865464972
F752,Ner13R_block_27,2,49,85,2,49,-0.722438246902854,89.6374520956177,88.9150138487149
F838,Ner13R_block_27,6,49,75,6,49,-2.59305070055808,87.7668396419624,85.1737889414043
HMV5409,Ner13R_block_27,2,46,90,2,46,-1.65291806415922,88.7069722783613,87.054054214202
I238,Ner13R_block_27,2,44,100,2,44,0.794586398349296,91.1544767408702,91.9490631392195
Lo1187,Ner13R_block_27,10,48,90,10,48,1.39853377483095,91.7584241173515,93.1569578921825
Oh40B,Ner13R_block_27,10,45,90,10,45,-0.333362785033586,90.026527557487,89.6931647724534
P465P,Ner13R_block_27,6,47,95,6,47,1.29898683679194,91.6588771793126,92.9578640161045
PHR36,Ner13R_block_27,10,46,100,10,46,4.49330484333761,94.8531951858584,99.346500029196
UH_P060,Ner13R_block_27,10,49,92,10,49,2.08252005419598,92.4424103967167,94.5249304509126
UH_P089,Ner13R_block_27,10,44,95,10,44,0.482461057542793,90.8423514000633,91.3248124576061
UH_S020,Ner13R_block_27,10,43,87,10,43,-1.33926294289188,89.0206273996287,87.6813644567368
A347,Ner13R_block_4,1,1,120,1,1,2.02159911906682,114.400019675166,116.421618794233
B37,Ner13R_block_4,5,4,120,5,4,2.86412272878297,115.242543284882,118.106666013665
B89,Ner13R_block_4,5,1,108,5,1,-4.59816812549097,107.780252430608,103.182084305117
EA3076,Ner13R_block_4,5,5,101,5,5,-5.33553964178405,107.042880914315,101.707341272531
EZ35,Ner13R_block_4,5,3,120,5,3,2.05122384346572,114.429644399565,116.480868243031
F04701,Ner13R_block_4,1,5,120,1,5,2.28434190015503,114.662762456254,116.947104356409
F353,Ner13R_block_4,9,3,115,9,3,1.90913604123296,114.287556597332,116.196692638565
F608,Ner13R_block_4,9,2,110,9,2,0.17462424416793,112.553044800267,112.727669044435
F922,Ner13R_block_4,1,4,125,1,4,3.7321999981363,116.110620554236,119.842820552372
LH145,Ner13R_block_4,9,6,105,9,6,-5.42137896943453,106.957041586665,101.53566261723
LH60,Ner13R_block_4,5,7,98,5,7,-3.29640575330363,109.082014802796,105.785609049492
LH93,Ner13R_block_4,5,6,107,5,6,-0.645557846052782,111.732862710046,111.087304863994
Lo1035,Ner13R_block_4,9,5,125,9,5,6.43856223479453,118.816982790894,125.255545025688
Lo1095,Ner13R_block_4,1,2,110,1,2,-2.71080959860061,109.667610957499,106.956801358898
Lo1273,Ner13R_block_4,9,1,105,9,1,-0.413273081093493,111.965147475006,111.551874393912
N25,Ner13R_block_4,1,6,115,1,6,2.91809784636185,115.296518402461,118.214616248823
Oh40B,Ner13R_block_4,1,7,95,1,7,-1.88597107033208,110.492449485767,108.606478415435
Os426,Ner13R_block_4,9,7,130,9,7,3.47798299964502,115.856403555744,119.334386555389
PHG71,Ner13R_block_4,1,3,110,1,3,-3.19174178668075,109.186678769419,105.994936982738
PHZ51,Ner13R_block_4,5,2,122,5,2,2.62489197817199,115.003312534271,117.628204512443
W602S,Ner13R_block_4,9,4,105,9,4,-2.99793706120802,109.380483494891,106.382546433683
A347,Kar13W_block_18,18,11,135,18,11,-0.0887610984870264,128.851491061778,128.762729963291
B100,Kar13W_block_18,19,14,115,19,14,-2.90787787749895,126.032374282767,123.124496405268
EZ37,Kar13W_block_18,9,12,115,9,12,-0.466369643684189,128.473882516581,128.007512872897
EZ42,Kar13W_block_18,9,11,115,9,11,-1.45780954391049,127.482442616355,126.024633072445
F712,Kar13W_block_18,9,10,130,9,10,2.68745518908327,131.627707349348,134.315162538432
F912,Kar13W_block_18,18,9,135,18,9,1.91935098052068,130.859603140786,132.778954121307
FR19,Kar13W_block_18,19,8,125,19,8,-0.752544703063393,128.187707457202,127.435162754139
Lo1261,Kar13W_block_18,10,14,130,10,14,-0.19599843747659,128.744253722789,128.548255285312
Mo17,Kar13W_block_18,19,13,150,19,13,4.51111517261791,133.451367332883,137.962482505501
N16,Kar13W_block_18,10,13,130,10,13,0.835719030412292,129.775971190678,130.61169022109
Pa36,Kar13W_block_18,18,12,135,18,12,-0.984410487230747,127.955841673035,126.971431185804
PB116,Kar13W_block_18,18,10,130,18,10,-1.86247345185819,127.077778708407,125.215305256549
UH_P128,Kar13W_block_18,9,9,125,9,9,-1.23739512942677,127.702857030839,126.465461901412
A347,Deb13R_block_33,21,15,115,21,15,4.7627661704865,109.03435873397,113.797124904456
DK4676A,Deb13R_block_33,9,21,93,9,21,-8.66435863858406,95.6072339248988,86.9428752863148
EC140,Deb13R_block_33,33,20,90,33,20,-4.30060482346904,99.9709877400139,95.6703829165448
EP2008-22,Deb13R_block_33,9,18,92,9,18,-9.44984363299983,94.821748930483,85.3719052974832
EP77,Deb13R_block_33,9,15,112,9,15,1.64054246554184,105.912135029025,107.552677494567
F252,Deb13R_block_33,21,19,101,21,19,-0.825534465027019,103.446058098456,102.620523633429
F7028,Deb13R_block_33,33,16,100,33,16,0.862305179480813,105.133897742964,105.996202922445
FR697,Deb13R_block_33,21,20,107,21,20,1.29935198958844,105.570944553071,106.87029654266
HMV5343,Deb13R_block_33,33,17,92,33,17,-4.10708820448109,100.164504359002,96.0574161545208
HMV5422,Deb13R_block_33,9,19,111,9,19,-0.234605647554787,104.036986915928,103.802381268373
IDT,Deb13R_block_33,33,15,90,33,15,-2.85100922457215,101.420583338911,98.5695741143387
LH82,Deb13R_block_33,33,21,92,33,21,-2.30754161722031,101.964050946263,99.6565093290423
Lo1026,Deb13R_block_33,33,18,125,33,18,11.9660100054315,116.237602568915,128.203612574346
Lo1270,Deb13R_block_33,21,21,125,21,21,9.0521842973296,113.323776860813,122.375961158142
Lo1284,Deb13R_block_33,21,17,100,21,17,-1.19559811865675,103.075994444826,101.880396326169
Oh40B,Deb13R_block_33,33,19,90,33,19,-5.14652498683991,99.125067576643,93.9785425898031
PHG50,Deb13R_block_33,21,18,103,21,18,0.492080429151741,104.763672992635,105.255753421786
PHG71,Deb13R_block_33,9,16,110,9,16,0.184063692531225,104.455656256014,104.639719948546
SGI061,Deb13R_block_33,9,20,133,9,20,10.807443489398,115.079036052881,125.886479542279
UH250,Deb13R_block_33,21,16,100,21,16,-1.81634295953758,102.455249603945,100.638906644408
W64A,Deb13R_block_33,9,17,110,9,17,-0.167695399998422,104.103897163485,103.936201763486
A347,Deb13R_block_13,25,8,100,25,8,3.26464915533136,110.393464136347,113.658113291678
B105,Deb13R_block_13,1,12,96,1,12,-6.29987611069402,100.828938870322,94.5290627596275
B37,Deb13R_block_13,13,11,125,13,11,7.37061304728188,114.499428028297,121.870041075579
CR1Ht,Deb13R_block_13,13,9,105,13,9,-0.271945223556529,106.856869757459,106.584924533902
EP51,Deb13R_block_13,13,12,83,13,12,-13.28037912377,93.8484358572455,80.5680567334755
F05404,Deb13R_block_13,25,13,85,25,13,-9.30710179658483,97.8217131844307,88.5146113878458
F608,Deb13R_block_13,13,14,100,13,14,-4.09505926973986,103.033755711276,98.9386964415357
F918,Deb13R_block_13,1,9,115,1,9,1.75490686046736,108.883721841482,110.63862870195
I242,Deb13R_block_13,1,8,123,1,8,2.75035296761506,109.87916794863,112.629520916245
Lo1035,Deb13R_block_13,25,12,115,25,12,4.7174495790394,111.846264560055,116.563714139094
Lo1063,Deb13R_block_13,13,10,108,13,10,-0.47057271983509,106.65824226118,106.187669541345
NDB8,Deb13R_block_13,25,14,120,25,14,8.99806057565222,116.126875556667,125.124936132319
Pa36,Deb13R_block_13,25,10,90,25,10,-5.37539375314532,101.75342122787,96.3780274747248
PB116,Deb13R_block_13,1,11,98,1,11,-3.39695182296623,103.731863158049,100.334911335083
PHG35,Deb13R_block_13,1,13,130,1,13,6.90760267892568,114.036417659941,120.944020338867
PHV63,Deb13R_block_13,1,10,105,1,10,-0.736608687472639,106.392206293543,105.65559760607
SGI061,Deb13R_block_13,25,11,118,25,11,6.66801268758887,113.796827668604,120.464840356193
UH_2500,Deb13R_block_13,13,13,105,13,13,-1.93006117071396,105.198753810301,103.268692639587
UH_P024,Deb13R_block_13,13,8,100,13,8,-0.545571236669105,106.583243744346,106.037672507677
UH_S020,Deb13R_block_13,1,14,135,1,14,5.6320619626247,112.76087694364,118.392938906265
W117,Deb13R_block_13,25,9,92,25,9,-2.35418859938019,104.774626381635,102.420437782255
A347,Mar13R_block_34,16,35,95,16,35,-0.964306264456127,99.2841783895784,98.3198721251222
B104,Mar13R_block_34,10,15,125,10,15,6.10840918048591,106.35689383452,112.465303015006
B107,Mar13R_block_34,22,16,127,22,16,13.5931185262716,113.841603180306,127.434721706578
B109,Mar13R_block_34,10,18,115,10,18,6.94125739257001,107.189742046605,114.130999439175
CO109,Mar13R_block_34,22,15,95,22,15,-1.23308615250293,99.0153985015316,97.7823123490287
DKFAPW,Mar13R_block_34,16,34,113,16,34,7.90068623455215,108.149170888587,116.049857123139
EA1027,Mar13R_block_34,22,21,114,22,21,1.03005323843151,101.278537892466,102.308591130897
EP10,Mar13R_block_34,10,20,85,10,20,-4.24640809545083,96.0020765585837,91.7556684631329
EZ40,Mar13R_block_34,16,33,94,16,33,-1.73171287857113,98.5167717754634,96.7850588968923
F7082,Mar13R_block_34,22,20,104,22,20,-2.71118837156889,97.5372962824657,94.8261079108967
HMV5409,Mar13R_block_34,22,19,96,22,19,-5.47889681670164,94.7695878373331,89.2906910206314
I242,Mar13R_block_34,16,32,108,16,32,5.12900468759716,105.377489341632,110.506494029229
I267,Mar13R_block_34,16,29,122,16,29,11.6618915512192,111.910376205254,123.572267756473
LH38,Mar13R_block_34,16,31,71,16,31,-13.5123431520211,86.7361415020136,73.2237983499924
LH59,Mar13R_block_34,10,16,100,10,16,-4.44082961739552,95.8076550366391,91.3668254192436
Lo1261,Mar13R_block_34,16,30,90,16,30,-4.16987786332336,96.0786067907111,91.9087289273878
MS71,Mar13R_block_34,22,17,98,22,17,-2.08311372351577,98.165370930519,96.0822572070032
Oh33,Mar13R_block_34,22,18,94,22,18,-5.27355785791312,94.9749267961215,89.7013689382084
UH250,Mar13R_block_34,10,19,89,10,19,-4.13935291732226,96.1091317367123,91.9697788193901
W117,Mar13R_block_34,10,21,85,10,21,-2.3797471003858,97.8687375536487,95.4889904532629
A347,Ner11R_block_7,4,7,85,4,7,-0.109460975261854,83.5623685144292,83.4529075391673
B104,Ner11R_block_7,9,7,80,9,7,-2.23255267161659,86.3886637312286,84.1561110596121
B104,Ner11R_block_7,14,2,85,14,2,2.79022202326567,86.3886637312286,89.1788857544943
B107,Ner11R_block_7,4,4,105,4,4,2.65841564258371,95.2884677939075,97.9468834364912
DK78371A,Ner11R_block_7,14,5,75,14,5,-1.95779556822437,75.7319056971801,73.7741101289558
EA1163,Ner11R_block_7,9,9,75,9,9,-0.926083800277667,80.1027488701556,79.176665069878
EC232,Ner11R_block_7,4,10,85,4,10,0.93826114875489,88.0010395029824,88.9393006517373
EP55,Ner11R_block_7,14,9,95,14,9,0.48126116668854,86.0649607320291,86.5462218987176
EZ11A,Ner11R_block_7,14,7,95,14,7,1.17224027387715,88.9922912202085,90.1645314940856
EZ47,Ner11R_block_7,9,2,80,9,2,0.00901495242388251,84.064291353516,84.0733063059399
F748,Ner11R_block_7,9,4,95,9,4,2.88020992376006,96.2280984638318,99.1083083875919
F912,Ner11R_block_7,9,10,85,9,10,0.985044736840891,88.199238004682,89.1842827415229
F924,Ner11R_block_7,4,2,90,4,2,-0.907674163220634,80.1807412309564,79.2730670677358
HMV5422,Ner11R_block_7,9,1,80,9,1,0.00587803478214255,84.0510018132736,84.0568798480557
LAN496,Ner11R_block_7,14,10,100,14,10,1.09010067230051,88.6443070952463,89.7344077675468
LH82,Ner11R_block_7,9,5,75,9,5,-0.935601419957919,80.0624275088076,79.1268260888497
MS153,Ner11R_block_7,14,3,90,14,3,1.59475641815175,90.782279337093,92.3770357552448
Oh43,Ner11R_block_7,4,9,85,4,9,0.589359004717636,86.5229168318252,87.1122758365429
Pa405,Ner11R_block_7,4,5,85,4,5,-0.809948283900155,80.5947565652013,79.7848082813011
PHB09,Ner11R_block_7,4,3,90,4,3,-0.556869195005547,81.6669252098599,81.1100560148544
PHG47,Ner11R_block_7,14,4,70,14,4,-2.56871662394455,73.1437408544587,70.5750242305142
PHK76,Ner11R_block_7,14,1,70,14,1,-1.53618141840241,77.5180725178288,75.9818910994264
W23,Ner11R_block_7,9,6,75,9,6,-0.164441010877468,79.3064733025857,79.1420322917082
W23,Ner11R_block_7,14,8,85,14,8,-0.949598943642826,79.3064733025857,78.3568743589428
W602S,Ner11R_block_7,4,8,80,4,8,-1.14893736703723,81.4330267174366,80.2840893503994
W602S,Ner11R_block_7,14,6,85,14,6,0.536857811561617,81.4330267174366,81.9698845289983
W95115,Ner11R_block_7,9,8,75,9,8,-0.92776036833952,80.0956460956262,79.1678857272867
A347,Ner11R_block_10,15,13,95,15,13,0.00105787520024592,93.7257095510872,93.7267674262875
B106,Ner11R_block_10,5,15,100,5,15,0.00641080567302765,95.2910988330672,95.2975096387402
B106,Ner11R_block_10,15,11,95,15,11,-0.0046467312751588,95.2910988330672,95.286452101792
B107,Ner11R_block_10,15,10,100,15,10,0.00432658147971665,100.971254141778,100.975580723258
B113,Ner11R_block_10,15,12,85,15,12,-0.00308865802786329,84.5343387660334,84.5312501080055
B37,Ner11R_block_10,15,18,95,15,18,0.00223044047888266,96.3248644719851,96.327094912464
B84,Ner11R_block_10,10,14,105,10,14,0.00467920839209057,101.752901007277,101.757580215669
DK78371A,Ner11R_block_10,5,12,90,5,12,-0.00207909320678823,86.7721803776038,86.770101284397
DKFBHJ,Ner11R_block_10,10,15,80,10,15,-0.0067054315706514,76.5172544095802,76.5105489780096
EP51,Ner11R_block_10,5,19,65,5,19,-0.0109890386477218,67.0220402688682,67.0110512302205
EP52,Ner11R_block_10,10,20,85,10,20,-0.000183158193024724,90.9747854785387,90.9746023203457
EZ47,Ner11R_block_10,5,18,105,5,18,0.00579684080001641,104.230289538196,104.236086378996
F1808,Ner11R_block_10,10,16,95,10,16,0.00688557998414296,91.9150610872833,91.9219466672675
F1808,Ner11R_block_10,15,20,85,15,20,-0.00664454855991892,91.9150610872833,91.9084165387234
F1890,Ner11R_block_10,5,13,95,5,13,-0.000136844842998585,91.0774454958788,91.0773086510358
F353,Ner11R_block_10,5,14,95,5,14,-0.000402267922964938,90.4890981201439,90.4886958522209
F7001,Ner11R_block_10,10,12,100,10,12,0.00305274748478723,98.1476229487167,98.1506756962015
F7081,Ner11R_block_10,5,16,95,5,16,-0.000277785807341502,90.7650301379839,90.7647523521765
F712,Ner11R_block_10,10,17,115,10,17,0.00982993132451782,113.170198705812,113.180028637137
F894,Ner11R_block_10,15,14,95,15,14,0.000742087743745401,93.025722491372,93.0264645791157
HMV5422,Ner11R_block_10,15,19,95,15,19,0.00343139058131214,98.9869383247504,98.9903697153317
LAN496,Ner11R_block_10,10,10,95,10,10,0.00139902565240391,94.4819172374446,94.483316263097
LH145,Ner11R_block_10,5,10,85,5,10,-0.00378317941573414,82.9948349823515,82.9910518029358
Mo17,Ner11R_block_10,5,20,95,5,20,0.00390505558493715,100.036883046384,100.040788101969
MS71,Ner11R_block_10,5,11,85,5,11,0.0037640525927003,82.409849177234,82.4136132298267
MS71,Ner11R_block_10,10,13,85,10,13,-0.00781113857215132,82.409849177234,82.4020380386619
NDB8,Ner11R_block_10,15,15,90,15,15,-0.00164913744389139,87.7252374547222,87.7235883172783
UH_P128,Ner11R_block_10,10,11,90,10,11,-0.00114119006479996,88.8511738558743,88.8500326658095
UH250,Ner11R_block_10,5,17,80,5,17,-0.00644924462997665,77.0851285908545,77.0786793462245
W602S,Ner11R_block_10,10,19,85,10,19,-0.00152417479235112,88.0022346475682,88.0007104727759
A347,Kar11R_block_10,5,15,125,5,15,-0.000785398071343479,117.448978150693,117.448192752622
B84,Kar11R_block_10,10,15,125,10,15,0.000674733807102257,117.450438282572,117.451113016379
EC232,Kar11R_block_10,5,11,115,5,11,0.000407272782524615,117.450170821547,117.450578094329
EP2008-18,Kar11R_block_10,10,11,115,10,11,-0.000866999199132579,117.448896549565,117.448029550366
EP52,Kar11R_block_10,10,14,130,10,14,0.0011329855645954,117.450896534329,117.452029519894
F1808,Kar11R_block_10,10,12,115,10,12,0.000173516194507783,117.449937064959,117.450110581154
F894,Kar11R_block_10,15,14,105,15,14,-0.00225787184517401,117.447505676919,117.445247805074
F924,Kar11R_block_10,5,14,120,5,14,9.6142592127535e-06,117.449773163024,117.449782777283
FR19,Kar11R_block_10,15,15,115,15,15,3.22558967695841e-05,117.449795804661,117.449828060558
LH38,Kar11R_block_10,15,11,105,15,11,0.000133646412805888,117.449897195177,117.45003084159
LH74,Kar11R_block_10,10,13,115,10,13,-8.99723349192527e-05,117.44967357643,117.449583604095
NC290,Kar11R_block_10,15,12,115,15,12,-0.000439185186223767,117.449324363578,117.448885178392
Oh43,Kar11R_block_10,5,13,120,5,13,0.000210638795778095,117.44997418756,117.450184826356
Pa405,Kar11R_block_10,5,12,115,5,12,-0.000354259757457953,117.449409289007,117.44905502925
PHH93,Kar11R_block_10,15,13,120,15,13,0.00201902274061183,117.451782571505,117.453801594246
A347,Deb11R_block_2,7,1,140,7,1,2.43502972507355,139.514318938042,141.949348663115
B100,Deb11R_block_2,7,6,116,7,6,-2.63439886695421,116.943510209493,114.309111342539
B84,Deb11R_block_2,13,4,132,13,4,1.08393582913786,133.498792464815,134.582728293953
B89,Deb11R_block_2,7,5,135,7,5,5.05912657861123,128.97803222506,134.037158803672
B89,Deb11R_block_2,13,5,123,13,5,-4.99055849693576,128.97803222506,123.987473728125
B97,Deb11R_block_2,2,2,141,2,2,1.79135298732857,136.648452644253,138.439805631582
EP52,Deb11R_block_2,2,5,145,2,5,2.51878402092441,139.887221358409,142.406005379333
EZ11A,Deb11R_block_2,13,6,128,13,6,-0.234857932957169,127.627077099604,127.392219166647
EZ37,Deb11R_block_2,7,2,120,7,2,-1.36665096449691,122.587952162454,121.221301197957
F894,Deb11R_block_2,2,4,135,2,4,0.75394794059784,131.66332419024,132.417272130838
F894,Deb11R_block_2,7,7,134,7,7,-0.0822603150044756,131.66332419024,131.581063875235
F912,Deb11R_block_2,13,2,121,13,2,-0.348383866586175,127.12162128991,126.773237423324
FR19,Deb11R_block_2,2,7,132,2,7,0.130352876085141,129.253119002918,129.383471879003
LH38,Deb11R_block_2,2,1,120,2,1,-2.05813944676943,119.509211829488,117.451072382719
MS153,Deb11R_block_2,7,3,148,7,3,3.63523141211732,144.858022320421,148.493253732538
NC290,Deb11R_block_2,13,1,110,13,1,-2.07328531564289,119.44177730444,117.368491988797
Oh02,Deb11R_block_2,13,7,140,13,7,1.6734510795774,136.123513519405,137.796964598982
Oh43,Deb11R_block_2,2,6,122,2,6,-2.24448292330203,121.639221555549,119.394738632247
Oh43,Deb11R_block_2,7,4,120,7,4,-1.87401528635704,121.639221555549,119.765206269192
Oh43,Deb11R_block_2,13,3,120,13,3,2.53876130204779,121.639221555549,124.177982857596
PH207,Deb11R_block_2,2,3,111,2,3,-3.71294033649467,112.141479216673,108.428538880178
A347,Deb11R_block_3,14,2,142,14,2,0.00387917120292514,134.417137882407,134.42101705361
A374,Deb11R_block_3,14,5,130,14,5,0.0220658758220225,143.299370089854,143.321435965676
B104,Deb11R_block_3,3,3,122,3,3,0.00201426985231024,133.506335887907,133.508350157759
B73,Deb11R_block_3,3,6,135,3,6,-0.00919791865567277,128.030398165058,128.021200246402
B97,Deb11R_block_3,9,2,132,9,2,0.00141087063906298,133.327707278644,133.329118149283
B97,Deb11R_block_3,14,1,130,14,1,0.000237650414959489,133.327707278644,133.327944929059
EZ11A,Deb11R_block_3,3,1,152,3,1,0.0195082170307046,142.050231239945,142.069739456976
EZ37,Deb11R_block_3,3,7,140,3,7,0.00585931429131392,135.384222963726,135.390082278017
EZ47,Deb11R_block_3,14,7,145,14,7,0.00796208108280894,136.411196421026,136.419158502109
F1808,Deb11R_block_3,14,6,125,14,6,-0.00719472992963688,129.008738540131,129.001543810202
F1890,Deb11R_block_3,9,6,139,9,6,0.00985461918651254,137.335495971266,137.345350590453
F7028,Deb11R_block_3,9,1,135,9,1,0.0129421344554999,138.843412228405,138.85635436286
F912,Deb11R_block_3,3,4,125,3,4,-0.0165951256060453,124.417665061611,124.401069936005
MS153,Deb11R_block_3,3,5,150,3,5,0.0223917648911254,142.598308542941,142.620700307832
MS153,Deb11R_block_3,9,5,145,9,5,-0.00176133896229658,142.598308542941,142.596547203979
NC290,Deb11R_block_3,9,3,120,9,3,-0.0260080095329016,119.820492427539,119.794484418006
Oh33,Deb11R_block_3,3,2,120,3,2,-0.0293987649822611,132.858869207252,132.82947044227
Oh33,Deb11R_block_3,9,4,135,9,4,0.0307949322529737,132.858869207252,132.889664139505
Oh33,Deb11R_block_3,14,3,132,14,3,-0.000707609806767096,132.858869207252,132.858161597446
Pa405,Deb11R_block_3,9,7,125,9,7,-0.0153130730467694,125.043808652298,125.028495579252
PH207,Deb11R_block_3,14,4,103,14,4,-0.0327443305997264,116.530530381481,116.497786050881
A347,Cam11R_block_2,7,7,95,7,7,-0.67081711720013,97.6855889008144,97.0147717836143
A374,Cam11R_block_2,7,2,100,7,2,-0.302077656382238,98.9836535829885,98.6815759266062
B104,Cam11R_block_2,2,4,85,2,4,-2.19559066943243,92.3179651263616,90.1223744569292
B73,Cam11R_block_2,2,7,105,2,7,2.11955764228664,104.67047097578,106.790028618067
B73,Cam11R_block_2,7,6,105,7,6,1.67766163753831,104.67047097578,106.348132613318
B73,Cam11R_block_2,12,7,100,12,7,-2.48385048890368,104.67047097578,102.186620486876
EP52,Cam11R_block_2,12,4,115,12,4,2.16964389944668,107.684795708303,109.85443960775
EZ11A,Cam11R_block_2,12,1,120,12,1,1.65494245740088,105.872904563533,107.527847020934
EZ37,Cam11R_block_2,12,6,115,12,6,3.25085599115201,111.490960709111,114.741816700263
EZ47,Cam11R_block_2,2,5,110,2,5,2.43752315756225,111.574848918471,114.012372076033
EZ47,Cam11R_block_2,12,3,120,12,3,0.83716284261277,111.574848918471,112.412011761083
F1808,Cam11R_block_2,7,1,100,7,1,-0.449555193612397,98.4644919449367,98.0149367513243
F838,Cam11R_block_2,12,2,100,12,2,-2.22930015719889,92.1992984248734,89.9699982676745
F912,Cam11R_block_2,2,1,90,2,1,-0.353500159105934,98.8026321796733,98.4491320205674
FR19,Cam11R_block_2,2,3,90,2,3,-0.844091452571718,97.0756154128296,96.2315239602579
LH38,Cam11R_block_2,2,6,85,2,6,-2.68689261396182,90.5884466716186,87.9015540576567
MS153,Cam11R_block_2,7,5,100,7,5,0.140354953359434,100.541138490282,100.681493443641
NC290,Cam11R_block_2,2,2,100,2,2,4.11422693697897,103.226032175907,107.340259112886
NC290,Cam11R_block_2,7,4,100,7,4,-3.21117790251004,103.226032175907,100.014854273397
UH_P089,Cam11R_block_2,12,5,100,12,5,-0.608221702751365,97.9059420373676,97.2977203346162
UH250,Cam11R_block_2,7,3,90,7,3,-2.3668544047077,91.715069505685,89.3482151009773
A347,Cam11R_block_1,11,4,100,11,4,-0.590385305527917,93.7693512425337,93.1789659370057
A374,Cam11R_block_1,1,7,100,1,7,0.393152302937665,104.877128083816,105.270280386753
B100,Cam11R_block_1,11,2,100,11,2,-0.494575200101764,94.851401650219,94.3568264501172
B105,Cam11R_block_1,6,4,95,6,4,-0.425315862379009,95.6335957025642,95.2082798401852
B73,Cam11R_block_1,6,2,110,6,2,0.159327458605134,102.236380878587,102.395708337192
B89,Cam11R_block_1,6,5,80,6,5,-1.06770084856741,88.3786935906834,87.3109927421159
B97,Cam11R_block_1,11,5,120,11,5,0.722678444859554,108.598696853869,109.321375298728
EZ37,Cam11R_block_1,6,1,85,6,1,-0.8473590985828,90.8671667986026,90.0198077000199
