Genotype,anthesis.silking.interval,anthesis,ear.height,grain.number,grain.weight,grain.yield,plant.height,silking,tassel.height
EC140,-0.0472018646229431,-1.86506627841997,-2.18155852552768,10.878235372372,-6.33767463400427,-0.171367132035841,-3.1602167922044,-0.984173345409696,-1.14723586903909
EC151,-0.147612494847151,0.700169434596064,0.92480785634516,156.784785858939,-8.53191313214434,0.208478889668399,-4.36243022836513,0.417163546013627,-4.54541043946458
EC169,0.376479378372573,-1.95722930092627,-1.64258575469637,-42.4708753379356,-2.89345991430416,-0.334366434892693,-4.76766533401006,-2.79474973433744,-4.01251619618604
EC175,-1.16499655463771,-1.21780774974765,-0.886547820035451,-100.966306409885,-4.22602433139296,-0.399668252108364,2.93736009580735,-0.0241588088472543,1.65220504744284
EC232,0.483685750555067,-0.375569942786858,1.40499826710912,-84.232997116651,8.16660855066174,-0.178287125290288,0.171001526112175,-1.51881950192439,-1.79176477734137
EC242C,0.244458135135382,-1.78033528285565,-2.92516460794125,-22.7909374631126,0.53718208775068,-0.0144056060264912,-0.944437837438664,-1.62003790684984,-4.11360018170604
EC334,-0.326260792475673,0.187845216792214,-3.92931868505949,30.103662780263,3.0154323256444,-0.0896585616217008,-6.89050173255965,0.379526746374296,-5.51797122225456
EP10,-0.375832588625941,-0.293114810926153,-2.93783068265306,-274.856873756269,1.27950933047942,-0.899558567725856,-8.99611522102052,-0.219868024613475,-10.7389745583758
EP2008-18,-0.117977769406832,-0.614493384167192,-1.75367510746877,-114.128585619748,1.02310718662268,0.0618128435710435,3.88804479838327,-0.71940201414033,4.68190544129879
EP2008-22,0.185698137337001,-1.29691092406621,-5.64164845858491,-132.66074824169,13.7834753934838,0.128140373996709,-6.03511914669189,-2.02330944633561,-5.56451206496835
EP29,-0.288009004861944,-1.27759653044446,-1.37413621045115,-69.8963917523074,-2.77057959215551,-0.0423653852106995,-4.02934463376787,-0.964841243693387,-2.60242927387092
EP51,-0.493104634190844,-2.17438192327785,-5.23565752698973,-70.9432747813799,0.669982150011446,-0.161265464545464,-8.92192108418914,-1.32237094121826,-11.685084267323
