"Experiment","parent1","Code_ID","Variety_ID","Accession_ID","Tnight.Early","Tnight.Flo","Tnight.Fill","Ri.Early","Ri.Flo","Ri.Fill","Psi.Flo","Psi.Fill","Tmax.Early","Tmax.Flo","Tmax.Fill","type"
"Gai12W","EC232_ciam",3033,"EC232","EC232_H",18.5191982323,17.8377134986,17.1364637387,260.476,255.262,1015.171,-22.240530303,-9.5997474747,27.2494496325,27.014947452,25.5538073905,"CrossValidation"
"Gai12W","LAN496_inra",3034,"LAN496","LAN496_H",18.5191982323,18.2985072952,16.9443230001,260.476,334.953,895.194,-20.899691358,-8.6354166667,27.2494496325,27.3860650089,25.3450619165,"CrossValidation"
"Gai12W","EP2008-18_csic",3035,"EP2008-18","EP2008-18_H",18.0388325563,18.1108207071,17.0028854165,264.524,284.339,963.435,-20.7725694444,-9.9206989247,26.7374728205,27.2133416888,25.3819659186,"CrossValidation"
"Gai12W","F7081_inra",3036,"F7081","F7081_H",18.472430303,18.1438998682,17.0439396396,280.475,266.712,963.435,-20.2554347826,-9.9206989247,27.1868526225,27.2798120066,25.4644615555,"CrossValidation"
"Gai12W","HMV5422_Martonvasar",3037,"HMV5422","HMV5422_H",18.367671156,18.2785964912,17.0028854165,358.108,241.887,963.435,-19.9934210526,-9.9206989247,26.8655532639,27.637243318,25.3819659186,"CrossValidation"
"Gai12W","Os426_inra",3038,"Os426","Os426_H",18.2659858586,18.2942191142,16.9617715358,263.182,235.382,917.38,-20.671474359,-9.2629310345,27.0224858534,27.3581637945,25.3779956625,"CrossValidation"
"Gai12W","PHG39_usda",3039,"PHG39","PHG39_H",18.367671156,18.2785964912,17.0028854165,358.108,266.712,963.435,-19.9934210526,-9.9206989247,26.8655532639,27.637243318,25.3819659186,"CrossValidation"
"Gai12W","F7001_inra",3040,"F7001","F7001_H",18.3721070707,18.1686666667,17.0653193217,329.425,241.887,963.435,-19.69375,-9.9206989247,26.8606215726,27.4705303134,25.5079774381,"CrossValidation"
"Gai12W","LH74_inra",3041,"LH74","LH74_H",18.5191982323,18.1108207071,17.0028854165,260.476,241.887,963.435,-20.7725694444,-9.9206989247,27.2494496325,27.2133416888,25.3819659186,"CrossValidation"
"Gai12W","HMV5405_Martonvasar",3042,"HMV5405","HMV5405_H",18.4739180264,17.8739848485,17.1184920576,319.22,241.023,989.124,-19.78125,-9.8841145833,27.1150701404,27.1827173011,25.5157446615,"CrossValidation"
"Gai12W","F924_inra",3043,"F924","F924_H",18.4556585082,17.8412962963,17.0952924858,334.597,232.603,1015.171,-21.3680555556,-9.5997474747,26.96411365,27.2566249822,25.4721617023,"CrossValidation"
"Gai12W","EZ40_csic",3044,"EZ40","EZ40_H",18.4739180264,17.8305103668,17.0952924858,319.22,214.976,1015.171,-20.7960526316,-9.5997474747,27.1150701404,27.0941621689,25.4721617023,"CrossValidation"
"Gai12W","W23_uh",3045,"W23","W23_H",17.8503858586,18.0838344988,17.0439396396,222.925,306.998,963.435,-21.1298076923,-9.9206989247,26.5814758741,27.189817762,25.4644615555,"CrossValidation"
"Gai12W","Mo17_inra",3046,"Mo17","Mo17_H",18.0133202394,18.3500505051,16.8808357177,284.523,279.134,873.628,-20.3770576132,-8.2680041152,26.6984747302,27.5102884736,25.2155291841,"CrossValidation"
"Gai12W","W9_inra",3047,"W9","W9_H",18.2659858586,17.9009379509,17.1294248203,263.182,257.34,1041.109,-22.9464285714,-9.5355392157,27.0224858534,27.0712071606,25.5569499319,"CrossValidation"
"Gai12W","F7025_inra",3049,"F7025","F7025_H",17.9771858586,17.9462373737,17.1184920576,240.226,281.309,989.124,-21.5677083333,-9.8841145833,26.6238146278,27.1988765166,25.5157446615,"CrossValidation"
"Gai12W","CO109_inra",3050,"CO109","CO109_H",17.8213047138,17.8084455668,17.0770571731,201.204,309.325,989.124,-21.3935185185,-9.8841145833,26.4446530138,26.9082880997,25.4336037124,"CrossValidation"
"Gai12W","PHG83_usda",3051,"PHG83","PHG83_H",18.367671156,18.2785964912,17.0439396396,358.108,241.887,963.435,-19.9934210526,-9.9206989247,26.8655532639,27.637243318,25.4644615555,"CrossValidation"
"Gai12W","N25_inra",3052,"N25","N25_H",18.4756747475,18.368513986,16.7431670385,301.774,252.495,873.628,-19.718482906,-8.2680041152,27.1407436626,27.5152224046,25.0249054987,"CrossValidation"
"Gai12W","B107_inra",3053,"B107","B107_H",18.3834686147,18.2785964912,16.9818724562,383.403,306.543,941.231,-19.9671052632,-9.6847222222,26.8862582034,27.7268264197,25.3381821444,"CrossValidation"
"Gai12W","F748_inra",3054,"F748","F748_H",18.2659858586,18.1108207071,17.0028854165,263.182,189.327,963.435,-20.7725694444,-9.9206989247,27.0224858534,27.2133416888,25.3819659186,"CrossValidation"
"Gai12W","PHG86_usda",3055,"PHG86","PHG86_H",18.2659858586,17.8752042161,16.9449179539,263.182,191.138,989.124,-21.2952898551,-9.8841145833,27.0224858534,27.095396033,25.2512389472,"CrossValidation"
"Gai12W","DK78371A_usda",3056,"DK78371A","DK78371A_H",18.3034324729,18.2785964912,16.847789631,378.231,211.531,941.231,-19.9671052632,-9.6847222222,26.7875486707,27.7268264197,25.1527218854,"CrossValidation"
"Gai12W","F712_inra",3057,"F712","F712_H",18.2839491064,18.4896825397,16.9826764138,352.936,312.767,917.38,-19.9424603175,-9.2629310345,26.7622508669,27.7761752936,25.4215183628,"CrossValidation"
"Gai12W","HMV5325_Martonvasar",3058,"HMV5325","HMV5325_H",18.4739180264,17.8305103668,17.1584154292,319.22,232.603,1015.171,-20.7960526316,-9.5997474747,27.1150701404,27.0941621689,25.5973498716,"CrossValidation"
"Gai12W","B113_uh",3059,"B113","B113_H",18.3034324729,18.4736666667,16.9207180145,378.231,287.942,917.38,-20.0645833333,-9.2629310345,26.7875486707,27.7927194798,25.2945761976,"CrossValidation"
"Gai12W","LH145_usda",3060,"LH145","LH145_H",18.0620686027,17.8659878788,17.1184920576,221.343,258.65,989.124,-21.625,-9.8841145833,26.7233013355,27.0803668016,25.5157446615,"CrossValidation"
"Gai12W","PB98TR_inra",3061,"PB98TR","PB98TR_H",18.367671156,18.497173913,16.8808357177,358.108,306.634,873.628,-20.181763285,-8.2680041152,26.8655532639,27.8456406817,25.2155291841,"CrossValidation"
"Gai12W","PB116_inra",3062,"PB116","PB116_H",18.4739180264,18.1433189033,17.0439396396,319.22,241.887,963.435,-19.255952381,-9.9206989247,27.1150701404,27.3133541808,25.4644615555,"CrossValidation"
"Gai12W","W602S_uh",3063,"W602S","W602S_H",18.2307556333,18.3319878788,16.9207180145,283.181,312.767,917.38,-20.1916666667,-9.2629310345,26.9710257968,27.425109371,25.2945761976,"CrossValidation"
"Gai12W","N6_inra",3064,"N6","N6_H",18.4756747475,18.3512373737,16.7857871849,301.774,312.767,917.38,-19.4704861111,-9.2629310345,27.1407436626,27.4269053336,25.1074664698,"CrossValidation"
"Gai12W","F918_inra",3065,"F918","F918_H",18.4739180264,18.1433189033,16.8700874761,319.22,284.339,963.435,-19.255952381,-9.9206989247,27.1150701404,27.3133541808,25.1981156197,"CrossValidation"
"Gai12W","B106_inra",3066,"B106","B106_H",18.4556585082,18.3814492754,16.7666787988,334.597,230.929,895.194,-19.9836956522,-8.6354166667,26.96411365,27.6397461293,25.0721249391,"CrossValidation"
"Gai12W","AS5707_usda",3067,"AS5707","AS5707_H",17.9866440265,18.971754386,16.902988467,415.639,257.568,895.194,-19.6842105263,-8.6354166667,26.5789549665,28.2336845401,25.2610414311,"CrossValidation"
"Gai12W","Lp5_usda",3069,"Lp5","Lp5_H",18.5191982323,17.8377134986,17.0952924858,260.476,232.603,1015.171,-22.240530303,-9.5997474747,27.2494496325,27.014947452,25.4721617023,"CrossValidation"
"Gai12W","EM1163_inra",3070,"EA1163","EA1163_H",18.2112352694,17.9134650856,17.1584154292,238.884,283.278,1015.171,-22.4836956522,-9.5997474747,26.9159674457,27.1264248515,25.5973498716,"CrossValidation"
"Gai12W","LH82_inra",3072,"LH82","LH82_H",18.4492599068,17.8604848485,17.0952924858,305.717,283.278,1015.171,-20.95625,-9.5997474747,27.1943585319,27.0631156648,25.4721617023,"CrossValidation"
"Gai12W","B108_uh",3074,"B108","B108_H",18.3034324729,18.2490740741,17.0028854165,378.231,216.827,963.435,-20.1319444444,-9.9206989247,26.7875486707,27.647907304,25.3819659186,"CrossValidation"
"Gai12W","UH_P128_uh",3075,"UH_P128","UH_P128_H",17.9771858586,17.9772589532,17.1294248203,240.226,257.34,1041.109,-23.1685606061,-9.5355392157,26.6238146278,27.1851944551,25.5569499319,"CrossValidation"
"Gai12W","EP51_csic",3076,"EP51","EP51_H",18.472430303,17.9284848485,17.0887892359,280.475,229.324,1041.109,-22.4604166667,-9.5355392157,27.1868526225,27.1405412996,25.4761765009,"CrossValidation"
"Gai12W","PHH93_usda",3077,"PHH93","PHH93_H",18.2659858586,17.9009379509,17.1510470721,263.182,257.34,1041.109,-22.9464285714,-9.5355392157,27.0224858534,27.0712071606,25.6000333227,"CrossValidation"
"Gai12W","EP55_csic",3078,"EP55","EP55_H",18.2659858586,18.1108207071,17.0439396396,263.182,266.712,963.435,-20.7725694444,-9.9206989247,27.0224858534,27.2133416888,25.4644615555,"CrossValidation"
"Gai12W","B98_uh",3079,"B98","B98_H",18.4492599068,18.3535878788,16.902988467,305.717,257.568,895.194,-19.765,-8.6354166667,27.1943585319,27.4542889836,25.2610414311,"CrossValidation"
"Gai12W","ML606_usda",3080,"ML606","ML606_H",18.2659858586,17.8752042161,17.0770571731,263.182,281.309,989.124,-21.2952898551,-9.8841145833,27.0224858534,27.095396033,25.4336037124,"CrossValidation"
"Gai12W","DKFBHJ_usda",3081,"DKFBHJ","DKFBHJ_H",18.472430303,17.8609379509,17.1364637387,280.475,255.262,1015.171,-21.744047619,-9.5997474747,27.1868526225,27.0783009316,25.5538073905,"CrossValidation"
"Gai12W","PHG47_usda",3082,"PHG47","PHG47_H",18.2307556333,17.9284848485,17.1294248203,283.181,229.324,1041.109,-22.4604166667,-9.5355392157,26.9710257968,27.1405412996,25.5569499319,"CrossValidation"
"Gai12W","PHB09_usda",3083,"PHB09","PHB09_H",18.5009111953,18.1438998682,17.0028854165,276.532,284.339,963.435,-20.2554347826,-9.9206989247,27.130691054,27.2798120066,25.3819659186,"CrossValidation"
"Gai12W","F98902_inra",3084,"F98902","F98902_H",17.9771858586,17.9134650856,17.1364637387,240.226,232.603,1015.171,-22.4836956522,-9.5997474747,26.6238146278,27.1264248515,25.5538073905,"CrossValidation"
"Gai12W","B37_inra",3085,"B37","B37_H",18.4756747475,18.3512373737,16.7857871849,301.774,287.942,917.38,-19.4704861111,-9.2629310345,27.1407436626,27.4269053336,25.1074664698,"CrossValidation"
"Gai12W","FV353_inra",3086,"F353","F353_H",17.8612525253,17.7832512626,17.1294248203,216.801,229.324,1041.109,-23.0295138889,-9.5355392157,26.4381619424,26.89761017,25.5569499319,"CrossValidation"
"Gai12W","EC136_ciam",3087,"EC136","EC136_H",17.9542213805,17.712088274,17.1144069366,216.101,243.416,1055.033,-23.4076086957,-9.6726190476,26.7210276844,26.9412942939,25.4807556088,"CrossValidation"
"Gai12W","W95115_inra",3088,"W95115","W95115_H",18.2659858586,18.1108207071,17.0439396396,263.182,284.339,963.435,-20.7725694444,-9.9206989247,27.0224858534,27.2133416888,25.4644615555,"CrossValidation"
"Gai12W","Pa91_inra",3089,"Pa91","Pa91_H",18.4739180264,18.3660545455,16.8808357177,319.22,252.495,873.628,-19.5472222222,-8.2680041152,27.1150701404,27.5569020173,25.2155291841,"CrossValidation"
"Gai12W","EA3076_csic",3090,"EA3076","EA3076_H",18.488430303,18.1736225895,16.9818724562,315.715,264.091,941.231,-19.1534090909,-9.6847222222,27.0758849349,27.396718559,25.3381821444,"CrossValidation"
"Gai12W","PHK76_usda",3091,"PHK76","PHK76_H",18.2307556333,17.8609379509,17.1364637387,283.181,232.603,1015.171,-21.744047619,-9.5997474747,26.9710257968,27.0783009316,25.5538073905,"CrossValidation"
"Gai12W","EP10_csic",3092,"EP10","EP10_H",17.9542213805,17.7323212121,17.1364637387,216.101,255.262,1015.171,-22.405,-9.5997474747,26.7210276844,26.8550455061,25.5538073905,"CrossValidation"
"Gai12W","NDB8_inra",3094,"NDB8","NDB8_H",18.2839491064,17.9449019608,17.1584154292,352.936,232.603,1015.171,-21.8014705882,-9.5997474747,26.7622508669,27.430368615,25.5973498716,"CrossValidation"
"Gai12W","MS71_uh",3096,"MS71","MS71_H",17.8503858586,18.0838344988,17.0439396396,222.925,284.339,963.435,-21.1298076923,-9.9206989247,26.5814758741,27.189817762,25.4644615555,"CrossValidation"
"Gai12W","DK4676A_usda",3097,"DK4676A","DK4676A_H",18.5191982323,17.9009379509,17.1294248203,260.476,229.324,1041.109,-22.9464285714,-9.5355392157,27.2494496325,27.0712071606,25.5569499319,"CrossValidation"
"Gai12W","EP29_csic",3098,"EP29","EP29_H",18.472430303,17.8609379509,17.1364637387,280.475,255.262,1015.171,-21.744047619,-9.5997474747,27.1868526225,27.0783009316,25.5538073905,"CrossValidation"
"Gai12W","NC358_uh",3099,"NC358","NC358_H",18.4428974935,18.3801515152,16.9207180145,338.102,181.83,917.38,-19.6723484848,-9.2629310345,27.0059872289,27.6183029269,25.2945761976,"CrossValidation"
"Gai12W","LH93_usda",3100,"LH93","LH93_H",17.9866440265,19.002962963,16.9207180145,415.639,312.767,917.38,-19.287037037,-9.2629310345,26.5789549665,28.2404727599,25.2945761976,"CrossValidation"
"Gai12W","11430_usda",3101,"11430","11430_H",18.2659858586,17.9009379509,17.1294248203,263.182,229.324,1041.109,-22.9464285714,-9.5355392157,27.0224858534,27.0712071606,25.5569499319,"CrossValidation"
"Gai12W","A3_inra",3102,"A3","A3_H",17.8503858586,18.0838344988,17.0028854165,222.925,306.998,963.435,-21.1298076923,-9.9206989247,26.5814758741,27.189817762,25.3819659186,"CrossValidation"
"Gai12W","A375_inra",3103,"A375","A375_H",18.0388325563,17.8752042161,17.0770571731,264.524,258.65,989.124,-21.2952898551,-9.8841145833,26.7374728205,27.095396033,25.4336037124,"CrossValidation"
"Gai12W","B109_uh",3104,"B109","B109_H",18.0388325563,18.1387878788,16.9818724562,264.524,264.091,941.231,-20.6216666667,-9.6847222222,26.7374728205,27.2907028414,25.3381821444,"CrossValidation"
"Gai12W","B110_uh",3105,"B110","B110_H",18.4756747475,18.3512373737,16.9207180145,301.774,235.382,917.38,-19.4704861111,-9.2629310345,27.1407436626,27.4269053336,25.2945761976,"CrossValidation"
"Gai12W","C103_inra",3106,"C103","C103_H",17.9017558923,18.8573015873,16.7583865597,443.412,311.694,841.068,-17.5337301587,-8.4383333333,26.5512487056,28.2952515226,24.9710070362,"CrossValidation"
"Gai12W","CR1Ht_usda",3107,"CR1Ht","CR1Ht_H",17.7649864025,17.8886824769,17.1294248203,223.625,257.34,1041.109,-23.1612318841,-9.5355392157,26.314856961,27.0569744197,25.5569499319,"CrossValidation"
"Gai12W","D09_uh",3108,"D09","D09_H",17.8213047138,17.8247212121,17.1294248203,201.204,257.34,1041.109,-22.7883333333,-9.5355392157,26.4446530138,26.8730008123,25.5569499319,"CrossValidation"
"Gai12W","DE811_inra",3109,"DE811","DE811_H",18.4739180264,18.3080652681,16.881110137,319.22,269.218,856.905,-19.1907051282,-8.1907051282,27.1150701404,27.6248580336,25.1654288273,"CrossValidation"
"Gai12W","DK78010_usda",3110,"DK78010","DK78010_H",18.4756747475,17.9315629984,17.1294248203,301.774,229.324,1041.109,-21.6688596491,-9.5355392157,27.1407436626,27.127832617,25.5569499319,"CrossValidation"
"Gai12W","DKFAPW_usda",3111,"DKFAPW","DKFAPW_H",17.8213047138,17.8084455668,17.0770571731,201.204,281.309,989.124,-21.3935185185,-9.8841145833,26.4446530138,26.9082880997,25.4336037124,"CrossValidation"
"Gai12W","DKIBO2_usda",3112,"DKIBO2","DKIBO2_H",17.8503858586,17.8886824769,17.1294248203,222.925,257.34,1041.109,-23.1612318841,-9.5355392157,26.5814758741,27.0569744197,25.5569499319,"CrossValidation"
"Gai12W","DKMBST_usda",3113,"DKMBST","DKMBST_H",18.4739180264,18.3478129117,16.9207180145,319.22,235.382,917.38,-19.2735507246,-9.2629310345,27.1150701404,27.4683693878,25.2945761976,"CrossValidation"
"Gai12W","EC140_ciam",3114,"EC140","EC140_H",18.4739180264,17.9038720539,17.0887892359,319.22,229.324,1041.109,-21.5393518519,-9.5355392157,27.1150701404,27.1641993131,25.4761765009,"CrossValidation"
"Gai12W","EC151_ciam",3115,"EC151","EC151_H",18.3034324729,17.9384313725,17.1184920576,378.231,258.65,989.124,-20.8014705882,-9.8841145833,26.7875486707,27.5138964529,25.5157446615,"CrossValidation"
"Gai12W","EC169_ciam",3116,"EC169","EC169_H",18.4756747475,18.1563498623,17.0439396396,301.774,266.712,963.435,-19.4715909091,-9.9206989247,27.1407436626,27.2751668129,25.4644615555,"CrossValidation"
"Gai12W","EC175_ciam",3117,"EC175","EC175_H",18.2659858586,17.8752042161,17.1184920576,263.182,281.309,989.124,-21.2952898551,-9.8841145833,27.0224858534,27.095396033,25.5157446615,"CrossValidation"
"Gai12W","EC242C_ciam",3118,"EC242C","EC242C_H",18.4756747475,17.9315629984,17.1510470721,301.774,257.34,1041.109,-21.6688596491,-9.5355392157,27.1407436626,27.127832617,25.6000333227,"CrossValidation"
"Gai12W","EC334_ciam",3119,"EC334","EC334_H",18.0620686027,18.2560606061,16.9207180145,221.343,330.394,917.38,-21.0104166667,-9.2629310345,26.7233013355,27.325975712,25.2945761976,"CrossValidation"
"Gai12W","EM1027_inra",3120,"EA1027","EA1027_H",18.4739180264,18.1736225895,17.0231624589,319.22,239.031,941.231,-19.1534090909,-9.6847222222,27.1150701404,27.396718559,25.421133215,"CrossValidation"
"Gai12W","EP2008-22_csic",3121,"EP2008-22","EP2008-22_H",17.6868525253,17.7741550117,17.0952924858,202.469,255.262,1015.171,-22.1971153846,-9.5997474747,26.2521608958,26.8330197646,25.4721617023,"CrossValidation"
"Gai12W","EP67_csic",3122,"EP67","EP67_H",17.8612525253,17.769539627,17.1404900272,216.801,281.309,989.124,-21.5625,-9.8841145833,26.4381619424,26.9323616333,25.5593508606,"CrossValidation"
"Gai12W","EP72_csic",3123,"EP72","EP72_H",18.4428974935,18.3801515152,16.9617715358,338.102,330.394,917.38,-19.6723484848,-9.2629310345,27.0059872289,27.6183029269,25.3779956625,"CrossValidation"
"Gai12W","EP77_csic",3124,"EP77","EP77_H",17.8213047138,17.8247212121,17.1294248203,201.204,229.324,1041.109,-22.7883333333,-9.5355392157,26.4446530138,26.8730008123,25.5569499319,"CrossValidation"
"Gai12W","EZ18_csic",3125,"EZ18","EZ18_H",18.4556585082,18.3349333333,16.881110137,334.597,217.806,856.905,-19.5383333333,-8.1907051282,26.96411365,27.7630590938,25.1654288273,"CrossValidation"
"Gai12W","EZ31_csic",3126,"EZ31","EZ31_H",18.4756747475,18.3512373737,16.9207180145,301.774,262.882,917.38,-19.4704861111,-9.2629310345,27.1407436626,27.4269053336,25.2945761976,"CrossValidation"
"Gai12W","EZ35_csic",3127,"EZ35","EZ35_H",18.472430303,17.899077135,17.1184920576,280.475,258.65,989.124,-20.7784090909,-9.8841145833,27.1868526225,27.1595265626,25.5157446615,"CrossValidation"
"Gai12W","EZ36_csic",3128,"EZ36","EZ36_H",18.4556585082,18.1992063492,17.0231624589,334.597,211.531,941.231,-19.5654761905,-9.6847222222,26.96411365,27.5503798462,25.421133215,"CrossValidation"
"Gai12W","EZ38_csic",3129,"EZ38","EZ38_H",18.4739180264,18.3080652681,16.7417794928,319.22,242.305,856.905,-19.1907051282,-8.1907051282,27.1150701404,27.6248580336,24.9731120898,"CrossValidation"
"Gai12W","EZ42_csic",3130,"EZ42","EZ42_H",18.488430303,18.3478129117,16.9207180145,315.715,262.882,917.38,-19.2735507246,-9.2629310345,27.0758849349,27.4683693878,25.2945761976,"CrossValidation"
"Gai12W","W153R_usa",3131,"W153R","W153R_H",18.472430303,17.849984051,17.1548756557,280.475,271.49,1055.033,-22.8881578947,-9.6726190476,27.1868526225,27.2062079301,25.5606824362,"CrossValidation"
"Gai12W","EZ48_csic",3132,"EZ48","EZ48_H",18.4428974935,18.3814492754,16.902988467,338.102,230.929,895.194,-19.9836956522,-8.6354166667,27.0059872289,27.6397461293,25.2610414311,"CrossValidation"
"Gai12W","F04401_inra",3134,"F04401","F04401_H",18.4428974935,17.9196078431,17.1510470721,338.102,229.324,1041.109,-22.1887254902,-9.5355392157,27.0059872289,27.3403385946,25.6000333227,"CrossValidation"
"Gai12W","F04402_inra",3135,"F04402","F04402_H",18.4739180264,17.9038720539,17.1294248203,319.22,206.665,1041.109,-21.5393518519,-9.5355392157,27.1150701404,27.1641993131,25.5569499319,"CrossValidation"
