"Experiment","parent1","Code_ID","Variety_ID","Accession_ID","geno.panel","grain.yield","grain.number","seed.size","anthesis","silking","plant.height","tassel.height","ear.height","type"
"Bol12R","EZ37_csic",3021,"EZ37","EZ37_H","DROPS",2.6919646907,1626.1986486062,166.4972998223,69.4376440455,76.4058758558,194.3313849088,244.6915565686,102.4551269861,NA
"Bol12R","F1808_inra",3022,"F1808","F1808_H","DROPS",3.2478160117,1683.779949586,201.2987084572,67.9006946745,73.0161709076,198.0143325165,244.4849728742,97.0644458487,NA
"Bol12R","Pa405_uh",3023,"Pa405","Pa405_H","DROPS",2.2690769182,1304.6471542199,180.9341352756,66.1577898169,74.2858566848,199.97681844,244.36062947,100.1559228015,NA
"Bol12R","LH38_usda",3024,"LH38","LH38_H","DROPS",2.8982682123,1465.711324123,203.0307908409,68.5576254094,73.7438673766,192.2631988117,241.5135166597,93.5146996265,NA
"Bol12R","Oh02_inra",3025,"Oh02","Oh02_H","DROPS",2.3883728798,1046.396627893,228.0036753434,71.9215934277,80.0717193169,200.3010255408,250.4305982268,125.4967379208,NA
"Bol12R","UH250_uh",3026,"UH250","UH250_H","DROPS",3.6448064979,1692.5972765276,213.929820025,63.6987369826,69.6031167252,181.0233313677,229.8085608836,96.1702072918,NA
"Bol12R","B97_usa",3027,"B97","B97_H","DROPS",3.7106723825,1625.0919998475,230.6570645826,68.9449971458,75.2918763972,202.1349925816,253.0461974634,105.7370567774,NA
"Bol12R","F838_inra",3028,"F838","F838_H","DROPS",2.9361192521,1462.2107918871,196.8990483923,70.3257205177,78.921648023,184.8932406768,234.1614573693,97.5917803424,NA
"Bol12R","B104_inra",3029,"B104","B104_H","DROPS",1.3247139254,622.9407054562,218.0191633537,72.2269518697,82.1150553265,182.725685536,239.1747686166,92.4860110761,NA
"Bol12R","B89_inra",3030,"B89","B89_H","DROPS",2.1111231716,915.7000762239,215.6578667672,65.4606891246,73.1606675405,186.8757347651,241.9355065429,85.2885692309,NA
"Bol12R","NC290_uh",3031,"NC290","NC290_H","DROPS",2.2421150963,1005.0935210773,223.0566202132,67.6076467731,76.6605526524,188.9339782899,248.0838732438,90.0847889033,NA
"Bol12R","UH_P089_uh",3032,"UH_P089","UH_P089_H","DROPS",3.307797734,1670.8367770718,193.8361124663,66.2805748226,73.2641837809,185.6585915587,243.8019845198,98.4641568172,NA
"Bol12R","EC232_ciam",3033,"EC232","EC232_H","DROPS",2.0041685193,887.9218431759,219.1155103953,68.6581783863,73.1552895336,191.6666189067,237.4105350999,95.7558287593,NA
"Bol12R","LAN496_inra",3034,"LAN496","LAN496_H","DROPS",1.4701605536,719.2608346796,203.7022261788,69.4305167003,79.3678124145,197.800933227,248.3466160329,109.8604183312,NA
"Bol12R","EP2008-18_csic",3035,"EP2008-18","EP2008-18_H","DROPS",2.9141183848,1475.8449824712,195.2291788089,67.1051323315,72.3779483193,195.4982554107,248.6606062815,93.8202072617,NA
"Bol12R","F7081_inra",3036,"F7081","F7081_H","DROPS",3.3580909192,1615.728513386,207.4159905757,66.6077561036,73.6088219132,194.7724170022,250.4521906405,105.7775850764,NA
"Bol12R","HMV5422_Martonvasar",3037,"HMV5422","HMV5422_H","DROPS",4.1717858929,2288.4787366893,183.174816164,68.556453302,75.2650196049,217.3313930616,270.9054118048,116.8292441365,NA
"Bol12R","Os426_inra",3038,"Os426","Os426_H","DROPS",1.5013899085,800.996327096,196.3259731884,73.1867856785,80.9601720954,192.6275051125,251.6156861384,104.999847144,NA
"Bol12R","PHG39_usda",3039,"PHG39","PHG39_H","DROPS",3.4870941023,1710.0930788723,202.5262704759,69.52041959,76.2678946612,201.0357547656,254.3978282524,106.3256703797,NA
"Bol12R","F7001_inra",3040,"F7001","F7001_H","DROPS",2.0218806107,1248.275331028,168.7861559779,68.9116005315,75.0492198304,205.4563297814,263.0657020742,107.2969503849,NA
"Bol12R","LH74_inra",3041,"LH74","LH74_H","DROPS",2.7808677102,1516.9714018766,181.2316003604,69.1241726142,72.3020104997,172.5280021351,228.7552605839,99.857027882,NA
"Bol12R","HMV5405_Martonvasar",3042,"HMV5405","HMV5405_H","DROPS",4.6309909217,2074.0959532251,215.4282557435,68.9720957326,67.7515622588,196.2338268079,248.9079931378,107.7148215915,NA
"Bol12R","F924_inra",3043,"F924","F924_H","DROPS",3.6537956317,2094.1115664124,170.7591974937,65.477261769,68.0356591317,193.0319657542,238.7188191095,97.0084356634,NA
"Bol12R","EZ40_csic",3044,"EZ40","EZ40_H","DROPS",1.5287516072,868.8681942269,173.1007239589,69.9344029228,76.6803806607,189.2703000974,249.7160989448,97.7120735945,NA
"Bol12R","W23_uh",3045,"W23","W23_H","DROPS",1.5862068504,912.7527469381,177.2276674335,64.9553670452,74.0646047549,198.0558819645,248.4881221776,94.8909900449,NA
"Bol12R","Mo17_inra",3046,"Mo17","Mo17_H","DROPS",2.2160692239,821.7733247591,276.6746442779,66.8387387382,82.5154764795,193.5072425404,256.8175685186,97.636289413,NA
"Bol12R","W9_inra",3047,"W9","W9_H","DROPS",1.9910803964,1137.748343329,176.2631403436,64.658444813,73.2583562132,186.2050390384,231.6874985063,90.9183126862,NA
"Bol12R","F7025_inra",3049,"F7025","F7025_H","DROPS",2.2779194454,1064.5296131532,201.7832292561,65.6208992774,73.7504168404,184.0948973591,244.0936961856,89.3296312527,NA
"Bol12R","CO109_inra",3050,"CO109","CO109_H","DROPS",2.3982117758,1272.3572251091,202.1562084937,61.462660272,68.7322124394,184.0229541515,234.6636122973,90.9608229075,NA
"Bol12R","PHG83_usda",3051,"PHG83","PHG83_H","DROPS",2.0778114699,1013.4676312189,214.6369672173,69.8712662825,76.6357088074,206.7861002286,261.39715881,115.9959528586,NA
"Bol12R","N25_inra",3052,"N25","N25_H","DROPS",1.1947391424,595.904929641,201.8604635914,70.5447482134,83.2925146557,188.1081053558,237.9216932126,89.3387769145,NA
"Bol12R","B107_inra",3053,"B107","B107_H","DROPS",1.7609973661,936.9155764287,196.2909450981,68.9864943034,74.2198651235,201.1951789539,250.1430970331,101.7796524318,NA
"Bol12R","F748_inra",3054,"F748","F748_H","DROPS",2.2475618575,1175.1511744485,187.6426245513,66.6416571337,75.4242125973,190.4642450868,241.4833531715,100.9384151173,NA
"Bol12R","PHG86_usda",3055,"PHG86","PHG86_H","DROPS",1.8730768262,1007.502287195,187.5148393043,70.9939628744,77.2707714739,188.7675659959,241.930761022,101.3021145519,NA
"Bol12R","DK78371A_usda",3056,"DK78371A","DK78371A_H","DROPS",1.6786572222,852.6437354011,210.6993803911,71.240189004,79.9388902305,193.3981094992,242.9999192007,92.9178255594,NA
"Bol12R","F712_inra",3057,"F712","F712_H","DROPS",1.319627776,840.3399116182,173.3335865007,68.832100003,79.86088428,205.3764007969,258.2915834372,110.8258392355,NA
"Bol12R","HMV5325_Martonvasar",3058,"HMV5325","HMV5325_H","DROPS",3.7015151166,1946.300791515,188.7787172497,66.0244485427,70.9009602351,207.8138307661,286.1828917936,104.6587584369,NA
"Bol12R","B113_uh",3059,"B113","B113_H","DROPS",3.0499262445,1595.9911286029,195.0837798754,68.9003858156,76.6963031402,194.9591060313,251.829816242,101.0465820359,NA
"Bol12R","LH145_usda",3060,"LH145","LH145_H","DROPS",2.9194276577,1739.5871303338,172.0807795119,64.4500470286,69.7626219722,178.374085758,221.8259278001,87.9689806552,NA
"Bol12R","PB98TR_inra",3061,"PB98TR","PB98TR_H","DROPS",1.8720708243,906.9448008682,195.441806259,68.3872840212,81.6188738283,209.4973877482,260.2547889162,122.1113434613,NA
"Bol12R","PB116_inra",3062,"PB116","PB116_H","DROPS",2.2194198818,1156.4016986539,192.8420669969,70.4810880937,74.6835725272,191.8257444958,242.6913305102,102.4954717826,NA
"Bol12R","W602S_uh",3063,"W602S","W602S_H","DROPS",3.729101582,1893.0187816906,195.0359411557,65.1471633459,72.998255076,181.5514421214,230.797019369,97.2567662765,NA
"Bol12R","N6_inra",3064,"N6","N6_H","DROPS",1.770283482,1124.7203420711,174.9336966747,68.7231257367,77.5857121175,186.8266598938,235.8455155431,90.2566554652,NA
"Bol12R","F918_inra",3065,"F918","F918_H","DROPS",2.4640798817,1157.1709447048,205.6360316538,70.8989963279,79.9117892091,182.7457142717,234.2671669642,104.7380440987,NA
"Bol12R","B106_inra",3066,"B106","B106_H","DROPS",3.4098942474,1684.4674956209,200.4439644043,71.4685624687,78.0013868506,204.6403973303,250.2898965563,111.2335761339,NA
"Bol12R","AS5707_usda",3067,"AS5707","AS5707_H","DROPS",1.2784295927,583.5059505493,218.0678761845,71.9636226364,80.2355813542,198.4586656647,256.6018002067,102.1159683616,NA
"Bol12R","Lp5_usda",3069,"Lp5","Lp5_H","DROPS",3.3173864565,1715.9033937048,193.6044712701,65.2572744397,71.4967061777,187.9750264326,244.0978355749,96.3741850022,NA
"Bol12R","EM1163_inra",3070,"EA1163","EA1163_H","DROPS",2.2125606004,1192.8343944843,189.5533267772,63.6112126902,70.6445336095,199.640892259,248.3680407246,95.8907612902,NA
"Bol12R","LH82_inra",3072,"LH82","LH82_H","DROPS",4.5752358718,2378.8869199531,195.7492952259,64.1889646253,68.4392837185,184.5472381335,230.5600630067,91.6512521183,NA
"Bol12R","B108_uh",3074,"B108","B108_H","DROPS",2.4009869174,1129.0008056351,199.6986336584,71.6861889019,76.2756665239,191.4994841225,237.3864306085,101.4825042213,NA
"Bol12R","UH_P128_uh",3075,"UH_P128","UH_P128_H","DROPS",3.4318934069,1524.8270844173,225.8324771436,64.93396672,71.5404547053,184.5359839366,236.6096151533,99.6621911097,NA
"Bol12R","EP51_csic",3076,"EP51","EP51_H","DROPS",2.2343540142,1157.8938603739,194.2279651878,65.7574636343,74.0819043795,179.6623178298,227.3055652574,89.817513237,NA
"Bol12R","PHH93_usda",3077,"PHH93","PHH93_H","DROPS",2.4982076514,1134.1284016108,221.987281447,65.4510110113,69.240674702,194.0139128383,255.1856414384,96.5094856041,NA
"Bol12R","EP55_csic",3078,"EP55","EP55_H","DROPS",2.8244969634,1483.7463471747,191.5990603538,68.4015840867,75.0174790325,211.3053373378,259.4133068885,121.0790126893,NA
"Bol12R","B98_uh",3079,"B98","B98_H","DROPS",2.6197081069,1224.1068005796,216.3251656306,70.2693331693,80.7486681472,205.9694405362,259.9645247124,103.6077173117,NA
"Bol12R","ML606_usda",3080,"ML606","ML606_H","DROPS",4.001815086,2159.1400274461,185.280649666,66.2957956044,74.2227140365,198.0235458699,239.8307579582,105.4092538062,NA
"Bol12R","DKFBHJ_usda",3081,"DKFBHJ","DKFBHJ_H","DROPS",3.2035116745,1541.0378750521,201.13625314,67.3683698333,70.2990886603,197.9160603186,253.5140150479,95.9386768283,NA
"Bol12R","PHG47_usda",3082,"PHG47","PHG47_H","DROPS",2.4413792661,1234.9623609964,205.0134596248,65.9303848123,74.6151307134,178.2432397967,242.6348616397,93.4591672156,NA
"Bol12R","PHB09_usda",3083,"PHB09","PHB09_H","DROPS",3.3103145172,1535.8969319554,216.4413961194,67.8257758887,75.2621225265,192.2776863499,249.9965454394,97.5648683948,NA
"Bol12R","F98902_inra",3084,"F98902","F98902_H","DROPS",2.8612014559,1434.6124516628,196.8379522943,66.1979585388,72.9480267646,209.5912012235,267.1596825757,109.395585149,NA
"Bol12R","B37_inra",3085,"B37","B37_H","DROPS",2.112561785,1133.4328767881,198.4542013654,70.8323817905,82.194798348,198.6778931184,250.1071502452,100.3932745829,NA
"Bol12R","FV353_inra",3086,"F353","F353_H","DROPS",3.0083944452,1528.1204215229,203.5089108414,66.1046699966,70.2986249914,199.6523602853,247.7499755585,105.1773381518,NA
"Bol12R","EC136_ciam",3087,"EC136","EC136_H","DROPS",1.6110927726,750.7123631927,226.1427363809,64.4133486529,67.6780346525,196.3619576171,260.1166240086,89.9753815522,NA
"Bol12R","W95115_inra",3088,"W95115","W95115_H","DROPS",2.5599053022,1298.1286420216,192.0967287363,65.7126785561,72.2965180834,179.3913011833,229.9616216214,87.6607458383,NA
"Bol12R","Pa91_inra",3089,"Pa91","Pa91_H","DROPS",2.0259392013,906.3908633708,222.0242849012,71.1117763248,78.017284275,202.8022067876,260.7263432277,105.6677247542,NA
"Bol12R","EA3076_csic",3090,"EA3076","EA3076_H","DROPS",2.5309501874,1209.4959089118,213.6332629229,68.1336304082,76.13720142,190.8793237001,242.0124453,106.2249471372,NA
"Bol12R","PHK76_usda",3091,"PHK76","PHK76_H","DROPS",3.0974529131,1610.2791491161,199.0998832083,64.8741294105,71.9418173998,189.8382149374,247.4780792139,97.8186337756,NA
"Bol12R","EP10_csic",3092,"EP10","EP10_H","DROPS",2.2228879388,1089.5504957246,192.8429439671,65.1783408027,74.026047822,174.5640248869,232.5550968092,103.619936098,NA
"Bol12R","NDB8_inra",3094,"NDB8","NDB8_H","DROPS",2.7770289376,1387.8367640425,204.8154983838,67.2010402336,69.5904938597,184.3013800434,229.2604817276,101.2673930576,NA
"Bol12R","MS71_uh",3096,"MS71","MS71_H","DROPS",3.1319632175,1514.2286430589,206.1810800199,64.0468780052,71.7757404498,186.2114991606,234.5849359417,97.5108488204,NA
"Bol12R","DK4676A_usda",3097,"DK4676A","DK4676A_H","DROPS",1.975282191,931.651499395,223.2963888688,66.0829129094,70.8190439609,192.9603488323,242.8819528447,98.5937348327,NA
"Bol12R","EP29_csic",3098,"EP29","EP29_H","DROPS",3.2203320499,1612.8589845758,201.899332189,66.893697206,69.1162320653,189.6417416563,261.1082957938,103.0323519957,NA
"Bol12R","NC358_uh",3099,"NC358","NC358_H","DROPS",2.6551351526,1264.3205658146,207.7206245905,70.5539584766,81.4053829938,193.9298955668,242.1214202477,106.7677296342,NA
"Bol12R","LH93_usda",3100,"LH93","LH93_H","DROPS",2.7475298742,1627.3859167031,172.6538829562,70.6018151616,78.7194140541,183.6067748799,234.9756353568,103.2971302022,NA
"Bol12R","11430_usda",3101,"11430","11430_H","DROPS",3.6287941368,1702.5938190773,209.9188374346,66.1151870169,69.1477247533,197.1837122548,255.1088241165,95.5479297231,NA
"Bol12R","A3_inra",3102,"A3","A3_H","DROPS",2.074881061,950.6074742569,220.6254430229,66.6455214713,76.9492319168,192.6137484243,244.8721006447,104.1554821946,NA
"Bol12R","A375_inra",3103,"A375","A375_H","DROPS",3.2178300796,1854.5968484397,178.8471397061,67.352865063,70.5403300741,201.0260221071,253.9220012872,113.9260763114,NA
"Bol12R","B109_uh",3104,"B109","B109_H","DROPS",3.2228211873,1656.9424314605,193.5453340345,66.3812538905,74.3277374957,187.5251609051,252.6871425906,94.6641552507,NA
"Bol12R","B110_uh",3105,"B110","B110_H","DROPS",3.1836930587,1622.8112943676,196.7349062883,68.101823502,76.9961070837,193.8936406489,246.6074403912,104.410191481,NA
"Bol12R","C103_inra",3106,"C103","C103_H","DROPS",0.4788696667,246.9888427623,216.9991207183,72.7518680175,80.6100640055,217.3795770827,266.1890451772,99.0688681661,NA
"Bol12R","CR1Ht_usda",3107,"CR1Ht","CR1Ht_H","DROPS",2.632454393,1223.4184423165,212.9739923831,64.9905775594,69.9254837792,184.4175593085,233.7323521754,93.0659626775,NA
"Bol12R","D09_uh",3108,"D09","D09_H","DROPS",2.6324870427,1251.1423288484,211.1710277193,60.3104738091,64.7715457257,187.5002525844,233.0184452294,95.5265913708,NA
"Bol12R","DE811_inra",3109,"DE811","DE811_H","DROPS",2.5837115476,1305.0293522869,200.0018065459,71.6268803876,79.9193005675,185.532979124,249.8726671989,94.0320674734,NA
"Bol12R","DK78010_usda",3110,"DK78010","DK78010_H","DROPS",3.8946744883,1912.2710910765,204.298250684,67.0474150107,70.7346808551,186.1745878846,234.3927806212,103.5430764516,NA
"Bol12R","DKFAPW_usda",3111,"DKFAPW","DKFAPW_H","DROPS",2.2652062559,1265.2661551585,188.2523014043,66.9645520971,73.3796405227,179.4783813506,225.6268292296,92.490669019,NA
"Bol12R","DKIBO2_usda",3112,"DKIBO2","DKIBO2_H","DROPS",3.2062967574,1440.4940637676,220.8286996932,61.8195248076,67.4425992088,185.9528588013,245.1585955715,94.1365254849,NA
"Bol12R","DKMBST_usda",3113,"DKMBST","DKMBST_H","DROPS",2.1763077142,1123.7800173441,193.5150256487,70.2575271556,79.7630545755,193.7852577779,250.8008750169,91.508813966,NA
"Bol12R","EC140_ciam",3114,"EC140","EC140_H","DROPS",3.8893020149,1965.1866795404,192.8493307933,64.7236819961,72.9811368092,191.3952938577,246.6974203904,102.5701676357,NA
"Bol12R","EC151_ciam",3115,"EC151","EC151_H","DROPS",3.0322016908,1847.6485707709,167.9975811127,69.6419701414,75.3991468471,181.2851613847,230.9481373994,102.7779816515,NA
"Bol12R","EC169_ciam",3116,"EC169","EC169_H","DROPS",2.5415324066,1634.997212591,159.7057859935,65.2111503592,72.6643556323,180.9681519645,229.7624362744,97.5484506882,NA
"Bol12R","EC175_ciam",3117,"EC175","EC175_H","DROPS",2.7268273419,1309.4518746723,213.0670040666,65.0451121608,72.4942956413,193.0149209252,248.7930130207,94.9670727688,NA
"Bol12R","EC242C_ciam",3118,"EC242C","EC242C_H","DROPS",3.0097872054,1410.7747900091,208.8689890056,62.904897493,67.0037515417,194.1494826432,233.7192791636,101.4755047609,NA
"Bol12R","EC334_ciam",3119,"EC334","EC334_H","DROPS",1.7288258856,968.3603981927,181.5886116856,66.6423822526,76.1975027366,180.7304010429,238.1898737566,82.0209171173,NA
"Bol12R","EM1027_inra",3120,"EA1027","EA1027_H","DROPS",0.7962709375,297.3621148732,230.4236894546,69.9565318172,79.3667119361,191.5846415764,242.0591744182,104.2228142864,NA
"Bol12R","EP2008-22_csic",3121,"EP2008-22","EP2008-22_H","DROPS",3.854257313,1670.2255993979,230.7387549934,68.6342098487,72.9183900099,182.050334303,233.2999248267,81.2494390406,NA
"Bol12R","EP67_csic",3122,"EP67","EP67_H","DROPS",2.3609705919,1409.2386047007,177.8798319643,65.5596892931,69.4215124379,173.5269907609,217.1321024107,92.6935926151,NA
"Bol12R","EP72_csic",3123,"EP72","EP72_H","DROPS",2.0685459495,1337.4599854676,160.7482081047,68.2297094544,76.7227616786,185.59345836,231.3700700806,95.2555770034,NA
"Bol12R","EP77_csic",3124,"EP77","EP77_H","DROPS",1.054191822,532.8697401024,186.5218181257,63.7866198893,73.0881867321,174.5871976987,242.7787815505,91.3546964626,NA
"Bol12R","EZ18_csic",3125,"EZ18","EZ18_H","DROPS",1.4210018165,684.6754478806,205.9556441372,74.5334064516,84.9356784918,201.5965624274,257.3798769958,112.0796616701,NA
"Bol12R","EZ31_csic",3126,"EZ31","EZ31_H","DROPS",2.7927116777,1536.7715143489,180.3473175046,68.3723045763,75.3233752544,189.2072042661,253.279153006,103.1210475748,NA
"Bol12R","EZ35_csic",3127,"EZ35","EZ35_H","DROPS",2.7760387738,1399.5522194602,206.2954607915,67.3285113942,76.2993777926,197.630647772,256.5958117067,92.4259215373,NA
"Bol12R","EZ36_csic",3128,"EZ36","EZ36_H","DROPS",2.996704474,1629.5915217512,181.2608563007,70.1050941589,75.6920217886,201.2560406211,247.8662327786,111.5697025361,NA
"Bol12R","EZ38_csic",3129,"EZ38","EZ38_H","DROPS",2.485758886,1188.579404196,203.837946296,73.6056071594,81.2295876225,191.0594805774,248.2640078707,113.3370631111,NA
"Bol12R","EZ42_csic",3130,"EZ42","EZ42_H","DROPS",1.8433986037,1047.1634929058,178.5331032384,70.5362208092,77.7587808998,184.7686082443,240.4490126939,95.2637635276,NA
"Bol12R","W153R_usa",3131,"W153R","W153R_H","DROPS",2.4209907575,1011.5997024335,237.0226222201,61.0502903171,65.8178649135,187.2276561161,238.0810430297,100.5632591686,NA
"Bol12R","EZ48_csic",3132,"EZ48","EZ48_H","DROPS",1.3792046975,770.457152778,182.603029113,74.1956095949,82.4068825908,191.8484588956,244.5422813002,99.178331527,NA
"Bol12R","F04401_inra",3134,"F04401","F04401_H","DROPS",3.0660373654,1406.2972528889,215.2319246851,66.2122874768,72.4866706132,190.689377928,242.6811777605,99.4179506166,NA
"Bol12R","F04402_inra",3135,"F04402","F04402_H","DROPS",2.500288265,1077.1446902069,235.7673154871,65.6090928074,69.3460052644,191.1648433102,250.7161880572,98.0226098695,NA
"Bol12R","F04701_inra",3136,"F04701","F04701_H","DROPS",2.093473432,866.4934323325,239.7661098052,70.8362503164,76.1105510978,191.1612219571,248.8933833867,101.8948466001,NA
"Bol12R","F04702_inra",3137,"F04702","F04702_H","DROPS",1.9667805679,879.8142452218,230.3645702886,68.3817816326,72.9593061577,191.421436801,246.2312570886,102.6133611547,NA
"Bol12R","F05101_inra",3138,"F05101","F05101_H","DROPS",3.3472060715,1627.4312307995,199.2195438676,64.3153257773,69.3268441966,185.4810281695,230.1702263629,96.6538408182,NA
"Bol12R","F05404_inra",3139,"F05404","F05404_H","DROPS",2.4211944227,1333.6833850455,192.9554618114,68.7578171553,77.5155988775,180.0253026292,225.9267135513,93.2605686052,NA
"Bol12R","F608_inra",3140,"F608","F608_H","DROPS",0.9207599777,557.9630227697,191.2426589216,69.7106698161,83.5479529205,184.9007764079,245.1153954818,89.8051266939,NA
"Bol12R","F618_inra",3141,"F618","F618_H","DROPS",2.9616171246,1446.825066933,202.0893985484,66.9372138523,77.3766991703,197.2137067251,247.8670039679,97.0842783629,NA
"Bol12R","F7019_inra",3142,"F7019","F7019_H","DROPS",3.6776619824,1775.4282294926,210.1678461382,64.4631546063,66.0446160162,189.2337682697,239.6813927622,100.2609093301,NA
"Bol12R","F7058_inra",3143,"F7058","F7058_H","DROPS",1.6180238701,874.7855329851,204.941990221,64.6582880432,72.4297534451,179.9703263886,232.5578145443,95.3097260432,NA
"Bol12R","F7057_inra",3144,"F7057","F7057_H","DROPS",2.1766801896,1171.4869464381,181.8139613474,66.8325586685,73.5312825359,184.8044553456,233.0536833819,98.0191903863,NA
"Bol12R","F7082_inra",3145,"F7082","F7082_H","DROPS",2.2459340643,1102.7678683576,197.1237854886,65.7621335195,73.9039487512,178.3005507042,217.2834042647,91.6475765526,NA
"Bol12R","F752_inra",3146,"F752","F752_H","DROPS",2.2281019653,1126.7030416466,209.4225415712,70.4562694349,80.5345305263,191.1416168437,253.5465190276,105.6708111324,NA
"Bol12R","F874_inra",3147,"F874","F874_H","DROPS",2.6517905826,1052.4316753217,256.9271342798,60.4713592298,65.3466068732,177.2213656543,234.3575702809,95.1108213129,NA
"Bol12R","F888_inra",3148,"F888","F888_H","DROPS",1.7782835579,937.5005415168,189.8986455969,66.6391969754,74.8180536718,197.8589695442,250.527811771,88.5759776438,NA
"Bol12R","F908_inra",3149,"F908","F908_H","DROPS",1.789083774,1011.105892368,185.1986404207,65.7823546751,71.5139306774,192.4734417841,248.8560976405,106.5652261733,NA
"Bol12R","F922_inra",3150,"F922","F922_H","DROPS",4.1797777339,2307.325755238,177.1503665152,65.1943662911,68.1148393981,202.7435460716,253.1243224266,105.3517929018,NA
"Bol12R","FP1_inra",3151,"FP1","FP1_H","DROPS",1.4916019478,849.4520296785,184.1269418825,63.9372499717,73.4147153239,192.3633829054,246.4634065433,104.3752526745,NA
"Bol12R","FV218_inra",3152,"F218","F218_H","DROPS",2.6690246214,1123.1187039187,224.432486106,62.7314570206,68.8471593711,187.3875529902,232.9437670765,92.6317835813,NA
"Bol12R","FV252_inra",3153,"F252","F252_H","DROPS",1.9390572221,1052.4702056771,207.5731133047,65.1551357764,69.270238457,184.3005689929,229.1115525762,93.2702599913,NA
"Bol12R","FV354_inra",3154,"F354","F354_H","DROPS",2.8818281665,1726.8451179954,179.4142194376,65.5921296638,67.5254011814,199.7258031844,245.2189359881,96.8240867457,NA
"Bol12R","H99_inra",3155,"H99","H99_H","DROPS",3.4489844244,1767.5305872822,198.157553893,70.5092811472,77.3578757361,161.7023235391,223.7373873524,82.3813964617,NA
"Bol12R","HMV5301_Martonvasar",3156,"HMV5301","HMV5301_H","DROPS",4.5561922433,1814.5541689568,245.8926024581,65.7369482098,71.1273697551,203.538415297,258.9369135511,103.7490535624,NA
